None,date,ticker,reportperiod,datekey,assets_sharadar,liabilities_sharadar,sgna_sharadar,rnd_sharadar,ebitda_sharadar,deferredrev_sharadar,cor_sharadar,gp_sharadar,debtc_sharadar,investments_sharadar,ppnenet_sharadar,revenue_sharadar,intangibles_sharadar,cashneq_sharadar,inventory_sharadar,accoci_sharadar,payables_sharadar,cashneq_sharadar,dps_sharadar,receivables_sharadar,capex_sharadar,equity_sharadar,opinc_sharadar
0,2021-12,IBM,2021-12-31,2021-12-31,132001000000.0,113005000000.0,18745000000.0,6488000000.0,13439000000.0,16095000000.0,25865000000.0,31485000000.0,7761000000.0,15069000000.0,8916000000.0,57350000000.0,68154000000.0,6957000000.0,1649000000.0,-23234000000.0,3955000000.0,6957000000.0,6.55,7756000000.0,-2381000000.0,18901000000.0,5991000000.0
1,2020-12,IBM,2020-12-31,2020-12-31,155971000000.0,135244000000.0,20561000000.0,6262000000.0,12213000000.0,15738000000.0,24314000000.0,30865000000.0,8151000000.0,20382000000.0,9771000000.0,55179000000.0,67504000000.0,13651000000.0,1812000000.0,-29337000000.0,4033000000.0,13651000000.0,6.51,6485000000.0,-3042000000.0,20597000000.0,3860000000.0
2,2019-12,IBM,2019-12-31,2019-12-31,152186000000.0,131202000000.0,18724000000.0,5910000000.0,16894000000.0,15877000000.0,26181000000.0,31533000000.0,10177000000.0,25674000000.0,15006000000.0,57714000000.0,73457000000.0,8313000000.0,1619000000.0,-28597000000.0,4896000000.0,8313000000.0,6.43,9603000000.0,-2370000000.0,20841000000.0,8550000000.0
3,2018-12,IBM,2018-12-31,2018-12-31,123382000000.0,106452000000.0,19366000000.0,5379000000.0,16550000000.0,14610000000.0,42655000000.0,36936000000.0,10207000000.0,34540000000.0,10792000000.0,79591000000.0,39352000000.0,11604000000.0,1682000000.0,-29490000000.0,6558000000.0,11604000000.0,6.21,8175000000.0,-3716000000.0,16796000000.0,12065000000.0
4,2017-12,IBM,2017-12-31,2017-12-31,125356000000.0,107631000000.0,19680000000.0,5590000000.0,16551000000.0,15298000000.0,42196000000.0,36943000000.0,6987000000.0,34662000000.0,11116000000.0,79139000000.0,40530000000.0,12234000000.0,1583000000.0,-26592000000.0,6451000000.0,12234000000.0,5.9,9909000000.0,-3313000000.0,17594000000.0,12014000000.0
5,2016-12,IBM,2016-12-31,2016-12-31,117470000000.0,99078000000.0,20869000000.0,5726000000.0,17332000000.0,14635000000.0,41403000000.0,38516000000.0,7513000000.0,33313000000.0,10830000000.0,79919000000.0,40887000000.0,7826000000.0,1553000000.0,-29398000000.0,6209000000.0,7826000000.0,5.5,10239000000.0,-3726000000.0,18246000000.0,12959000000.0
6,2015-12,IBM,2015-12-31,2015-12-31,110495000000.0,96071000000.0,20430000000.0,5247000000.0,20094000000.0,14792000000.0,41057000000.0,40684000000.0,6461000000.0,34728000000.0,10727000000.0,81741000000.0,35508000000.0,7686000000.0,1551000000.0,-29607000000.0,6028000000.0,7686000000.0,5.0,9534000000.0,-3781000000.0,14262000000.0,16413000000.0
7,2014-12,IBM,2014-12-31,2014-12-31,117271000000.0,105257000000.0,23180000000.0,5437000000.0,21232000000.0,15568000000.0,46386000000.0,46407000000.0,5731000000.0,36464000000.0,10771000000.0,92793000000.0,33660000000.0,8476000000.0,2103000000.0,-27875000000.0,6864000000.0,8476000000.0,4.25,11996000000.0,-3779000000.0,11868000000.0,20470000000.0
8,2013-12,IBM,2013-12-31,2013-12-31,126223000000.0,103294000000.0,23451000000.0,5743000000.0,24926000000.0,16665000000.0,49683000000.0,48684000000.0,6862000000.0,37531000000.0,13821000000.0,98367000000.0,35055000000.0,10716000000.0,2310000000.0,-21602000000.0,7461000000.0,10716000000.0,3.7,12049000000.0,-3768000000.0,22792000000.0,20645000000.0
9,2012-12,IBM,2012-12-31,2012-12-31,119213000000.0,100229000000.0,23463000000.0,5816000000.0,27280000000.0,16443000000.0,52513000000.0,50361000000.0,9181000000.0,36588000000.0,13996000000.0,102874000000.0,33034000000.0,10412000000.0,2287000000.0,-25759000000.0,7952000000.0,10412000000.0,3.3,12540000000.0,-4307000000.0,18860000000.0,22999000000.0
10,2011-12,IBM,2011-12-31,2011-12-31,116433000000.0,96197000000.0,23594000000.0,6258000000.0,26229000000.0,16044000000.0,56778000000.0,50138000000.0,8463000000.0,32572000000.0,13883000000.0,106916000000.0,29605000000.0,11922000000.0,2595000000.0,-21885000000.0,8517000000.0,11922000000.0,2.9,12660000000.0,-4059000000.0,20138000000.0,21414000000.0
11,2010-12,IBM,2010-12-31,2010-12-31,113452000000.0,90279000000.0,21837000000.0,6026000000.0,24922000000.0,15246000000.0,53857000000.0,46013000000.0,6778000000.0,33573000000.0,14096000000.0,99870000000.0,28624000000.0,10661000000.0,2450000000.0,-18743000000.0,7804000000.0,10661000000.0,2.5,11968000000.0,-3984000000.0,23046000000.0,20091000000.0
12,2009-12,IBM,2009-12-31,2009-12-31,109022000000.0,86267000000.0,20952000000.0,5820000000.0,23534000000.0,14407000000.0,51973000000.0,43785000000.0,4168000000.0,32728000000.0,14165000000.0,95758000000.0,22703000000.0,12183000000.0,2494000000.0,-18830000000.0,7436000000.0,12183000000.0,2.15,11879000000.0,-3747000000.0,22637000000.0,18541000000.0
13,2008-12,IBM,2008-12-31,2008-12-31,109524000000.0,95939000000.0,23386000000.0,6337000000.0,22838000000.0,13410000000.0,57969000000.0,45661000000.0,11236000000.0,31884000000.0,14305000000.0,103630000000.0,21104000000.0,12741000000.0,2701000000.0,-21845000000.0,7014000000.0,12741000000.0,1.9,12078000000.0,-4537000000.0,13465000000.0,17389000000.0
14,2007-12,IBM,2007-12-31,2007-12-31,120431000000.0,91962000000.0,22060000000.0,6153000000.0,20301000000.0,12862000000.0,57057000000.0,41729000000.0,12235000000.0,34295000000.0,15081000000.0,98786000000.0,16392000000.0,14991000000.0,2664000000.0,-3414000000.0,8054000000.0,14991000000.0,1.5,12500000000.0,-4968000000.0,28470000000.0,15100000000.0
15,2006-12,IBM,2006-12-31,2006-12-31,103234000000.0,74728000000.0,20259000000.0,6107000000.0,18654000000.0,11089000000.0,53129000000.0,38295000000.0,8902000000.0,36178000000.0,14440000000.0,91424000000.0,15056000000.0,8022000000.0,2810000000.0,-8901000000.0,7964000000.0,8022000000.0,1.1,11753000000.0,-4736000000.0,28506000000.0,13595000000.0
16,2005-12,IBM,2005-12-31,2005-12-31,105748000000.0,72650000000.0,21314000000.0,5842000000.0,17574000000.0,7319000000.0,54602000000.0,36532000000.0,7216000000.0,29470000000.0,13756000000.0,91134000000.0,11104000000.0,12568000000.0,2841000000.0,-2016000000.0,7349000000.0,12568000000.0,0.78,10678000000.0,-3527000000.0,33098000000.0,12446000000.0
17,2004-12,IBM,2004-12-31,2004-12-31,111003000000.0,79315000000.0,20079000000.0,5874000000.0,15705000000.0,7175000000.0,60724000000.0,35569000000.0,8099000000.0,34383000000.0,15175000000.0,96293000000.0,10226000000.0,10053000000.0,3316000000.0,-2061000000.0,9444000000.0,10053000000.0,0.7,12335000000.0,-3745000000.0,31688000000.0,10808000000.0
18,2003-12,IBM,2003-12-31,2003-12-31,104457000000.0,76593000000.0,18601000000.0,5314000000.0,14448000000.0,6492000000.0,56584000000.0,32547000000.0,6646000000.0,35975000000.0,14689000000.0,89131000000.0,8645000000.0,7290000000.0,2942000000.0,-1896000000.0,8460000000.0,7290000000.0,0.63,11340000000.0,-3935000000.0,27864000000.0,9562000000.0
19,2002-12,IBM,2002-12-31,2002-12-31,96484000000.0,73702000000.0,18738000000.0,4750000000.0,10407000000.0,4946000000.0,50902000000.0,30284000000.0,6031000000.0,36301000000.0,14440000000.0,81186000000.0,4852000000.0,5382000000.0,3148000000.0,-3418000000.0,7630000000.0,5382000000.0,0.59,11362000000.0,-4575000000.0,22782000000.0,7669000000.0
20,2001-12,IBM,2001-12-31,2001-12-31,90303000000.0,66855000000.0,17048000000.0,4986000000.0,15767000000.0,4223000000.0,51178000000.0,31889000000.0,11188000000.0,35382000000.0,16504000000.0,83067000000.0,1278000000.0,6330000000.0,4304000000.0,-828000000.0,7047000000.0,6330000000.0,0.55,10362000000.0,-4906000000.0,23448000000.0,11684000000.0
21,2000-12,IBM,2000-12-31,2000-12-31,88349000000.0,67725000000.0,17393000000.0,5084000000.0,16680000000.0,4516000000.0,53511000000.0,31578000000.0,10205000000.0,46619000000.0,16714000000.0,85089000000.0,0.0,3563000000.0,4765000000.0,-295000000.0,8192000000.0,3563000000.0,0.51,12021000000.0,-4315000000.0,20624000000.0,11755000000.0
22,1999-12,IBM,1999-12-31,1999-12-31,87495000000.0,66984000000.0,16294000000.0,5505000000.0,18694000000.0,4529000000.0,55994000000.0,31554000000.0,14230000000.0,44694000000.0,17590000000.0,87548000000.0,0.0,5043000000.0,4868000000.0,1161000000.0,6400000000.0,5043000000.0,0.47,10462000000.0,-5216000000.0,20511000000.0,12109000000.0
23,1998-12,IBM,1998-12-31,1998-12-31,86100000000.0,66667000000.0,16662000000.0,5046000000.0,14745000000.0,4115000000.0,50795000000.0,30872000000.0,13905000000.0,30413000000.0,19631000000.0,81667000000.0,599000000.0,5375000000.0,5200000000.0,911000000.0,6252000000.0,5375000000.0,0.43,20271000000.0,-5865000000.0,19433000000.0,9753000000.0
24,1997-12,IBM,1997-12-31,1997-12-31,81499000000.0,61683000000.0,16634000000.0,4877000000.0,14756000000.0,3445000000.0,47899000000.0,30609000000.0,13230000000.0,28082000000.0,18347000000.0,78508000000.0,819000000.0,7106000000.0,5139000000.0,899000000.0,5215000000.0,7106000000.0,0.388,18106000000.0,-5977000000.0,19816000000.0,9098000000.0
25,1996-12,IBM,1996-12-31,1996-12-31,81132000000.0,59504000000.0,16854000000.0,5089000000.0,14315000000.0,3640000000.0,45408000000.0,30539000000.0,12957000000.0,27766000000.0,17407000000.0,75947000000.0,1435000000.0,7687000000.0,5870000000.0,2569000000.0,4767000000.0,7687000000.0,0.325,17446000000.0,-4864000000.0,21628000000.0,8596000000.0
26,1995-12,IBM,1995-12-31,1995-12-31,80292000000.0,57869000000.0,16766000000.0,4170000000.0,14140000000.0,3469000000.0,41573000000.0,30367000000.0,11569000000.0,27006000000.0,16579000000.0,71940000000.0,2419000000.0,7259000000.0,6323000000.0,3093000000.0,4511000000.0,7259000000.0,0.25,17441000000.0,-4006000000.0,22423000000.0,7591000000.0
27,1994-12,IBM,1994-12-31,1994-12-31,81091000000.0,57678000000.0,15916000000.0,4363000000.0,12677000000.0,3475000000.0,38768000000.0,25284000000.0,9570000000.0,29109000000.0,16664000000.0,64052000000.0,2963000000.0,7922000000.0,6334000000.0,2672000000.0,3778000000.0,7922000000.0,0.25,15182000000.0,-3539000000.0,23413000000.0,5005000000.0
28,1993-12,IBM,1993-12-31,1993-12-31,81113000000.0,61375000000.0,18282000000.0,5558000000.0,-977000000.0,3575000000.0,38568000000.0,24148000000.0,12097000000.0,28387000000.0,17521000000.0,62716000000.0,3703000000.0,5861000000.0,7565000000.0,1658000000.0,3400000000.0,5861000000.0,0.395,12984000000.0,-3868000000.0,19738000000.0,-8637000000.0
29,1992-12,IBM,1992-12-31,1992-12-31,86705000000.0,59081000000.0,19526000000.0,6522000000.0,493000000.0,3316000000.0,35069000000.0,29454000000.0,16467000000.0,29907000000.0,21595000000.0,64523000000.0,4119000000.0,4446000000.0,8385000000.0,1962000000.0,3147000000.0,4446000000.0,1.21,14199000000.0,-5870000000.0,27624000000.0,-8239000000.0
30,1991-12,IBM,1991-12-31,1991-12-31,,,21375000000.0,6644000000.0,5614000000.0,,32073000000.0,32693000000.0,,,,64766000000.0,,,,,,,1.21,,-7866000000.0,,939000000.0
31,2022-09,IBM,2022-09-30,2022-09-30,125850000000.0,105703000000.0,17220000000.0,6544000000.0,6204000000.0,14157000000.0,17936000000.0,29160000000.0,6781000000.0,14428000000.0,7890000000.0,47096000000.0,65185000000.0,7975000000.0,1794000000.0,-17138000000.0,3806000000.0,7975000000.0,6.58,6428000000.0,-1844000000.0,20076000000.0,109000000.0
32,2022-06,IBM,2022-06-30,2022-06-30,127503000000.0,108026000000.0,17135000000.0,6539000000.0,12109000000.0,15591000000.0,17404000000.0,28836000000.0,6865000000.0,14148000000.0,8123000000.0,46240000000.0,66610000000.0,7254000000.0,1684000000.0,-22169000000.0,3707000000.0,7254000000.0,6.57,6776000000.0,-2034000000.0,19409000000.0,5418000000.0
33,2022-03,IBM,2022-03-31,2022-03-31,133275000000.0,114162000000.0,17129000000.0,6507000000.0,12304000000.0,16949000000.0,16524000000.0,28399000000.0,8644000000.0,13690000000.0,8667000000.0,44923000000.0,68418000000.0,10220000000.0,1776000000.0,-22532000000.0,3453000000.0,10220000000.0,6.56,6966000000.0,-2229000000.0,19050000000.0,4593000000.0
35,2021-09,IBM,2021-09-30,2021-09-30,144214000000.0,121858000000.0,18555000000.0,6403000000.0,11914000000.0,16229000000.0,14783000000.0,27799000000.0,8860000000.0,14803000000.0,13391000000.0,42582000000.0,74403000000.0,7807000000.0,1891000000.0,-27302000000.0,4248000000.0,7807000000.0,6.54,7508000000.0,-2635000000.0,22228000000.0,2360000000.0
36,2021-06,IBM,2021-06-30,2021-06-30,146814000000.0,124747000000.0,18896000000.0,6312000000.0,12866000000.0,17385000000.0,17768000000.0,29123000000.0,7776000000.0,16478000000.0,13810000000.0,46891000000.0,75184000000.0,7565000000.0,1807000000.0,-27652000000.0,4214000000.0,7565000000.0,6.53,7629000000.0,-2826000000.0,21942000000.0,3406000000.0
37,2021-03,IBM,2021-03-31,2021-03-31,148629000000.0,127116000000.0,19295000000.0,6253000000.0,13051000000.0,18350000000.0,20825000000.0,29971000000.0,6535000000.0,17469000000.0,13935000000.0,50796000000.0,73519000000.0,10673000000.0,1828000000.0,-28257000000.0,4140000000.0,10673000000.0,6.52,7245000000.0,-2835000000.0,21389000000.0,4107000000.0
39,2020-09,IBM,2020-09-30,2020-09-30,154128000000.0,132794000000.0,19403000000.0,6239000000.0,14640000000.0,15501000000.0,24401000000.0,31197000000.0,11621000000.0,20415000000.0,14673000000.0,55598000000.0,72317000000.0,14553000000.0,1949000000.0,-28584000000.0,3985000000.0,14553000000.0,6.5,7022000000.0,-2906000000.0,21208000000.0,5706000000.0
40,2020-06,IBM,2020-06-30,2020-06-30,154200000000.0,133512000000.0,19780000000.0,6277000000.0,14430000000.0,16256000000.0,24963000000.0,31103000000.0,10632000000.0,23302000000.0,14483000000.0,56066000000.0,72103000000.0,12188000000.0,1869000000.0,-28757000000.0,4719000000.0,12188000000.0,6.49,7480000000.0,-2760000000.0,20551000000.0,5513000000.0
41,2020-03,IBM,2020-03-31,2020-03-31,153403000000.0,133275000000.0,19988000000.0,6102000000.0,15267000000.0,17146000000.0,25691000000.0,31413000000.0,12969000000.0,22392000000.0,14497000000.0,57104000000.0,72183000000.0,11370000000.0,1786000000.0,-29283000000.0,4172000000.0,11370000000.0,6.48,8543000000.0,-2493000000.0,19999000000.0,6735000000.0
43,2019-09,IBM,2019-09-30,2019-09-30,149620000000.0,131524000000.0,19872000000.0,5751000000.0,17304000000.0,14605000000.0,41055000000.0,36077000000.0,9907000000.0,23023000000.0,14964000000.0,77132000000.0,73564000000.0,10225000000.0,1712000000.0,-29086000000.0,4042000000.0,10225000000.0,6.38,8629000000.0,-2603000000.0,17956000000.0,11794000000.0
44,2019-06,IBM,2019-06-30,2019-06-30,154652000000.0,136876000000.0,19211000000.0,5450000000.0,18009000000.0,14735000000.0,41316000000.0,36544000000.0,15913000000.0,27086000000.0,15200000000.0,77860000000.0,38012000000.0,45534000000.0,1745000000.0,-28841000000.0,4724000000.0,45534000000.0,6.33,9195000000.0,-2864000000.0,17645000000.0,13026000000.0
45,2019-03,IBM,2019-03-31,2019-03-31,130926000000.0,114320000000.0,18612000000.0,5407000000.0,17666000000.0,15615000000.0,41969000000.0,36733000000.0,11563000000.0,31923000000.0,15309000000.0,78702000000.0,39237000000.0,17271000000.0,1771000000.0,-29182000000.0,5711000000.0,17271000000.0,6.28,7658000000.0,-3437000000.0,16481000000.0,12858000000.0
47,2018-09,IBM,2018-09-30,2018-09-30,121990000000.0,102071000000.0,19679000000.0,5399000000.0,16592000000.0,14211000000.0,43075000000.0,37298000000.0,10932000000.0,32632000000.0,10949000000.0,80373000000.0,39660000000.0,11731000000.0,1893000000.0,-27820000000.0,5384000000.0,11731000000.0,6.14,7838000000.0,-3805000000.0,19784000000.0,12068000000.0
48,2018-06,IBM,2018-06-30,2018-06-30,121622000000.0,102974000000.0,19922000000.0,5438000000.0,16674000000.0,15470000000.0,43294000000.0,37476000000.0,7646000000.0,32073000000.0,11024000000.0,80770000000.0,39826000000.0,10960000000.0,1742000000.0,-28290000000.0,5518000000.0,10960000000.0,6.07,8534000000.0,-3642000000.0,18520000000.0,12113000000.0
49,2018-03,IBM,2018-03-31,2018-03-31,125285000000.0,106995000000.0,20098000000.0,5510000000.0,16314000000.0,16911000000.0,42811000000.0,37245000000.0,5977000000.0,32936000000.0,11278000000.0,80056000000.0,40253000000.0,12262000000.0,1753000000.0,-28583000000.0,5736000000.0,12262000000.0,6.0,8984000000.0,-3387000000.0,18166000000.0,11756000000.0
51,2017-09,IBM,2017-09-30,2017-09-30,121636000000.0,101879000000.0,19442000000.0,5617000000.0,17035000000.0,14228000000.0,41359000000.0,37008000000.0,4299000000.0,31915000000.0,11057000000.0,78367000000.0,40763000000.0,10915000000.0,1711000000.0,-27521000000.0,5442000000.0,10915000000.0,5.8,9076000000.0,-3272000000.0,19627000000.0,12525000000.0
52,2017-06,IBM,2017-06-30,2017-06-30,120495000000.0,101951000000.0,19568000000.0,5723000000.0,17173000000.0,15158000000.0,41400000000.0,37040000000.0,8061000000.0,31217000000.0,10903000000.0,78440000000.0,40696000000.0,11696000000.0,1604000000.0,-28189000000.0,5126000000.0,11696000000.0,5.7,9395000000.0,-3344000000.0,18419000000.0,12712000000.0
53,2017-03,IBM,2017-03-31,2017-03-31,117495000000.0,99047000000.0,19884000000.0,5752000000.0,17785000000.0,15908000000.0,41615000000.0,37774000000.0,8340000000.0,30012000000.0,10865000000.0,79389000000.0,40743000000.0,10096000000.0,1609000000.0,-28710000000.0,5324000000.0,10096000000.0,5.6,9507000000.0,-3574000000.0,18327000000.0,13337000000.0
55,2016-09,IBM,2016-09-30,2016-09-30,115606000000.0,98447000000.0,21250000000.0,5682000000.0,17286000000.0,14426000000.0,41400000000.0,38807000000.0,6920000000.0,30972000000.0,11104000000.0,80207000000.0,41282000000.0,9039000000.0,1729000000.0,-28164000000.0,5271000000.0,9039000000.0,5.4,9164000000.0,-3819000000.0,17010000000.0,13042000000.0
56,2016-06,IBM,2016-06-30,2016-06-30,118056000000.0,102167000000.0,21249000000.0,5572000000.0,17401000000.0,15345000000.0,41031000000.0,39230000000.0,4887000000.0,31761000000.0,11092000000.0,80261000000.0,41570000000.0,10017000000.0,1685000000.0,-28604000000.0,5484000000.0,10017000000.0,5.3,9912000000.0,-3900000000.0,15733000000.0,13361000000.0
57,2016-03,IBM,2016-03-31,2016-03-31,118856000000.0,103784000000.0,21079000000.0,5407000000.0,18306000000.0,16271000000.0,40918000000.0,39918000000.0,5303000000.0,31650000000.0,10910000000.0,80836000000.0,38695000000.0,14354000000.0,1690000000.0,-28998000000.0,5302000000.0,14354000000.0,5.2,10084000000.0,-3829000000.0,14925000000.0,14485000000.0
59,2015-09,IBM,2015-09-30,2015-09-30,108649000000.0,95198000000.0,21306000000.0,5205000000.0,22099000000.0,14051000000.0,41656000000.0,42140000000.0,7538000000.0,31386000000.0,10661000000.0,83796000000.0,33050000000.0,9480000000.0,1613000000.0,-28155000000.0,5166000000.0,9480000000.0,4.8,8918000000.0,-3738000000.0,13294000000.0,18399000000.0
60,2015-06,IBM,2015-06-30,2015-06-30,112729000000.0,98892000000.0,21856000000.0,5272000000.0,19626000000.0,15224000000.0,43335000000.0,43578000000.0,5329000000.0,32971000000.0,10702000000.0,86913000000.0,33473000000.0,8393000000.0,1912000000.0,-27432000000.0,5943000000.0,8393000000.0,4.6,11022000000.0,-3813000000.0,13684000000.0,19147000000.0
61,2015-03,IBM,2015-03-31,2015-03-31,112037000000.0,99747000000.0,22270000000.0,5333000000.0,20938000000.0,15973000000.0,44915000000.0,45232000000.0,4532000000.0,31597000000.0,10509000000.0,90147000000.0,32862000000.0,8796000000.0,1970000000.0,-27842000000.0,6314000000.0,8796000000.0,4.4,11546000000.0,-3815000000.0,12141000000.0,20290000000.0
63,2014-09,IBM,2014-09-30,2014-09-30,118911000000.0,104515000000.0,23134000000.0,5569000000.0,21403000000.0,15029000000.0,48182000000.0,47883000000.0,12876000000.0,33534000000.0,11068000000.0,96065000000.0,34418000000.0,9561000000.0,2356000000.0,-20978000000.0,5855000000.0,9561000000.0,4.1,10591000000.0,-3863000000.0,14255000000.0,20472000000.0
64,2014-06,IBM,2014-06-30,2014-06-30,124314000000.0,106801000000.0,23113000000.0,5571000000.0,25359000000.0,16743000000.0,48567000000.0,48439000000.0,12462000000.0,36134000000.0,13748000000.0,97006000000.0,35153000000.0,9715000000.0,2338000000.0,-20369000000.0,6271000000.0,9715000000.0,3.95,11457000000.0,-3896000000.0,17377000000.0,21053000000.0
65,2014-03,IBM,2014-03-31,2014-03-31,122646000000.0,105906000000.0,24200000000.0,5758000000.0,24202000000.0,17723000000.0,49356000000.0,48527000000.0,9312000000.0,35572000000.0,13683000000.0,97883000000.0,34912000000.0,9409000000.0,2456000000.0,-21156000000.0,6865000000.0,9409000000.0,3.8,11332000000.0,-3925000000.0,16607000000.0,19812000000.0
